"","co_owned","southj","centralj","pa1","pa2","wage_st","hrsopen","wage_st2","hrsopen2","emptot","emptot2","nj","pa","bk","kfc","roys","wendys","pmeal","pmeal2","closed"
"1",0,0,0,1,0,NA,16.5,4.30000019073486,16.5,40.5,24,0,1,1,0,0,0,2.57999992370605,NA,0
"2",0,0,0,1,0,NA,13,4.44999980926514,13,13.75,11.5,0,1,0,1,0,0,4.25999975204468,4.25,0
"3",1,0,0,1,0,NA,10,5,11,8.5,10.5,0,1,0,1,0,0,4.01999998092651,4.01999998092651,0
"4",1,0,0,1,0,5,12,5.25,12,34,20,0,1,0,0,0,1,3.48000001907349,2.57999992370605,0
"5",1,0,0,1,0,5.5,12,4.75,12,24,35.5,0,1,0,0,0,1,3.28999996185303,2.79999995231628,0
"6",1,0,0,1,0,5,12,NA,12,20.5,NA,0,1,0,0,0,1,2.58999991416931,NA,0
"7",0,0,0,0,1,5,18,4.75,18,70.5,29,0,1,1,0,0,0,2.85999989509583,2.83999991416931,0
"8",0,0,0,0,1,5,24,5,24,23.5,36.5,0,1,1,0,0,0,2.84999990463257,2.8899998664856,0
"9",1,0,0,0,1,5.25,10,5,11,11,11,0,1,0,1,0,0,3.77999997138977,4.09999990463257,0
"10",1,0,0,1,0,5,10,5,10.5,9,8.5,0,1,0,1,0,0,3.99000000953674,3.94999980926514,0
"11",1,0,0,0,1,5,12.5,4.75,12,15.5,17.5,0,1,0,0,1,0,3.17000007629395,2.90999984741211,0
"12",0,0,0,0,1,5,18,5,18,58,29,0,1,1,0,0,0,2.83999991416931,2.67000007629395,0
"13",0,0,0,0,1,5,18,4.5,18,26.5,30.5,0,1,1,0,0,0,2.59999990463257,2.59999990463257,0
"14",0,0,0,0,1,5.5,18,4.75,18,28.5,26,0,1,1,0,0,0,2.75,2.80999994277954,0
"15",0,0,0,0,1,5,12.5,4.5,13,13.5,18,0,1,1,0,0,0,3.11999988555908,2.97000002861023,0
"16",1,0,0,0,1,5.25,10,5,11,16.75,20,0,1,0,1,0,0,4.21999979019165,4,0
"17",1,0,0,0,1,5,10,4.75,11,9.5,13.5,0,1,0,1,0,0,3.99000000953674,4.01999998092651,0
"18",1,0,0,0,1,5,11.5,4.75,11,15,19,0,1,0,0,1,0,2.97000002861023,3,0
"19",0,0,0,0,1,5,16,4.75,15,29.5,15.5,0,1,0,0,1,0,2.84999990463257,2.96000003814697,0
"20",0,0,0,0,1,5,14,4.25,11.5,18.5,14.5,0,1,0,0,1,0,3,3.0699999332428,0
"21",1,0,0,0,1,5,16,5,16,20.25,14,0,1,0,0,1,0,3.10999989509583,3.0699999332428,0
"22",1,0,0,1,0,5,16,4.90000009536743,16,36,19,0,1,0,0,1,0,3.96000003814697,2.86999988555908,0
"23",0,0,0,0,1,5,15,5,16,21,21,0,1,0,0,1,0,3,2.98000001907349,0
"24",1,0,0,0,1,5,16,4.75,16,20.5,18,0,1,0,0,1,0,2.67999982833862,2.90999984741211,0
"25",1,0,0,0,1,5,12,5,12,19,20.5,0,1,0,0,0,1,3.33999991416931,2.52999997138977,0
"26",1,0,0,0,1,5,16,4.25,15.5,14,13.5,0,1,0,0,1,0,3.15999984741211,2.95000004768372,0
"27",1,0,0,0,1,5,16,4.75,16,19,17.5,0,1,0,0,1,0,3.14999985694885,2.96000003814697,0
"28",0,0,0,1,0,4.25,16.5,4.25,16.5,32.5,25.5,0,1,1,0,0,0,2.65999984741211,2.6800000667572,0
"29",0,0,0,1,0,4.25,17.5,NA,16.5,19,15.5,0,1,1,0,0,0,2.27999997138977,NA,0
"30",0,0,0,1,0,4.25,16.5,4.25,17.5,27,25.5,0,1,1,0,0,0,2.59999990463257,2.67000007629395,0
"31",0,0,0,1,0,4.25,16.5,4.25,17.5,19.5,27,0,1,1,0,0,0,2.65000009536743,2.63000011444092,0
"32",0,0,0,1,0,4.5,16.5,4.25,16.5,24,16,0,1,1,0,0,0,2.67000007629395,NA,0
"33",0,0,0,1,0,4.25,16,4.25,17.5,18,19,0,1,1,0,0,0,2.67000007629395,2.59000015258789,0
"34",0,0,0,1,0,4.5,17,4.25,18,NA,24.5,0,1,1,0,0,0,2.76999998092651,2.76999998092651,0
"35",0,0,0,1,0,4.25,14,4.38000011444092,14,19,25,0,1,1,0,0,0,2.48000001907349,2.64000010490417,0
"36",0,0,0,1,0,4.5,12,4.75,13,14,17,0,1,0,1,0,0,5.40000009536743,4.25,0
"37",0,0,0,1,0,4.25,13,4.25,13,10.5,16.5,0,1,0,1,0,0,4.25,4.23999977111816,0
"38",1,0,0,1,0,4.67000007629395,12,4.5,12,38,20,0,1,0,0,0,1,2.55999994277954,2.69000005722046,0
"39",1,0,0,1,0,4.75,12,4.5,12,23.5,18,0,1,0,0,0,1,2.65000009536743,2.8199999332428,0
"40",0,0,0,1,0,4.25,10.5,4.25,10.5,10.5,12,0,1,0,0,0,1,2.6100001335144,2.71000003814697,0
"41",0,0,0,1,0,4.25,11.5,4.25,12,25,25,0,1,0,0,0,1,2.53999996185303,2.6800000667572,0
"42",1,0,0,0,1,4.75,10,4.25,11,11,11,0,1,0,1,0,0,4.01999998092651,4.31999969482422,0
"43",0,0,0,1,0,4.25,15,4.25,16,36.5,27,0,1,1,0,0,0,2.5,2.39000010490417,0
